image_file,strehl_ratio,diffraction_limit_radius_um,EE.8_radius_um,EE.9995_radius_um,background image,um_per_pixel,datetime_run
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\10mJ_New_Optimized_FocalSpotWithDPM_2025-07-17_1109AM.tiff,0.049656,2.3900,69.635541,100.609449,None,0.0854,2026-03-04T15:27:22
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,0.376309,2.3900,7.458690,28.750418,None,0.0854,2026-03-04T15:28:23
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,0.376309,2.3900,7.458690,28.750418,None,0.0854,2026-03-04T15:30:34
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,0.376309,2.3900,7.458690,28.750418,None,0.0854,2026-03-05T17:42:53
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\FocalSpot_vac_3-5-26.tiff,0.000023,0.0163,55.285438,115.624387,None,0.0854,2026-03-05T20:02:00
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\FocalSpot_vac_3-5-26.tiff,0.000023,0.0163,647.244158,1353.651358,None,1.0000,2026-03-05T20:18:23
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\FocalSpot_vac_3-5-26.tiff,0.000023,0.0163,647.244158,1353.651358,None,1.0000,2026-03-05T20:21:44
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,0.000241,0.0163,87.321246,336.590255,None,1.0000,2026-03-05T20:22:07
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\FocalSpot_vac_3-5-26.tiff,0.000032,0.0163,6.472442,13.536514,None,0.0100,2026-03-05T20:22:53
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\FocalSpot_vac_3-5-26.tiff,0.000077,0.0163,2.588977,5.414605,None,0.0040,2026-03-05T20:23:38
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\FocalSpot_vac_3-5-26.tiff,0.000027,0.0163,10.226965,21.388752,None,0.0158,2026-03-05T20:24:55
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001138,0.0163,9.749852,27.852582,None,0.0158,2026-03-09T09:20:09
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001138,0.0163,9.749852,27.852582,None,0.0158,2026-03-09T09:34:42
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001138,0.0163,9.749852,27.852582,None,0.0158,2026-03-09T09:48:11
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.009031,0.0163,0.481341,15.322948,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,0.0158,2026-03-09T10:00:41
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001865,0.0163,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:05:30
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001865,0.0163,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:06:52
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001874,0.0163,105.097669,300.546290,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:08:17
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001865,0.0163,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:08:38
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001865,0.0163,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:15:33
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.001865,0.0163,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:17:17
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.685594,58.5600,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:22:39
